glyph_id,char,source,key_hex,unicode
0x99,仆,private,0xF089,U+4EC6
0x9A,仇,private,0xF08A,U+4EC7
0x9B,今,private,0xF08B,U+4ECA
0x9C,介,private,0xF08C,U+4ECB
0x9D,仍,private,0xF08D,U+4ECD
0x9E,从,private,0xF08E,U+4ECE
0x9F,仓,private,0xF08F,U+4ED3
0xA0,仔,private,0xF090,U+4ED4
0xA1,他,private,0xF091,U+4ED6
0xA2,付,private,0xF092,U+4ED8
0xA3,仙,private,0xF093,U+4ED9
0xA4,代,private,0xF094,U+4EE3
0xA5,令,private,0xF095,U+4EE4
0xA6,以,private,0xF096,U+4EE5
0xA7,仪,private,0xF097,U+4EEA
0xA8,们,private,0xF098,U+4EEC
0xA9,仰,private,0xF099,U+4EF0
0xAA,件,private,0xF09A,U+4EF6
0xAB,价,private,0xF09B,U+4EF7
0xAC,任,private,0xF09C,U+4EFB
0xAD,份,private,0xF09D,U+4EFD
0xAE,仿,private,0xF09E,U+4EFF
0xAF,企,private,0xF09F,U+4F01
0xB0,伊,private,0xF0A0,U+4F0A
0xB1,伍,private,0xF0A1,U+4F0D
0xB2,伏,private,0xF0A2,U+4F0F
0xB3,伐,private,0xF0A3,U+4F10
0xB4,休,private,0xF0A4,U+4F11
0xB5,众,private,0xF0A5,U+4F17
0xB6,优,private,0xF0A6,U+4F18
0xB7,伙,private,0xF0A7,U+4F19
0xB8,会,private,0xF0A8,U+4F1A
0xB9,伞,private,0xF0A9,U+4F1E
0xBA,伟,private,0xF0AA,U+4F1F
0xBB,传,private,0xF0AB,U+4F20
0xBC,伤,private,0xF0AC,U+4F24
0xBD,伦,private,0xF0AD,U+4F26
0xBE,伪,private,0xF0AE,U+4F2A
0xBF,估,private,0xF0AF,U+4F30
0xC0,伴,private,0xF0B0,U+4F34
0xC1,伸,private,0xF0B1,U+4F38
0xC2,似,private,0xF0B2,U+4F3C
0xC3,但,private,0xF0B3,U+4F46
0xC4,位,private,0xF0B4,U+4F4D
0xC5,低,private,0xF0B5,U+4F4E
0xC6,住,private,0xF0B6,U+4F4F
0xC7,佐,private,0xF0B7,U+4F50
0xC8,体,private,0xF0B8,U+4F53
0xC9,何,private,0xF0B9,U+4F55
0xCA,余,private,0xF0BA,U+4F59
0xCB,佛,private,0xF0BB,U+4F5B
0xCC,作,private,0xF0BC,U+4F5C
0xCD,你,private,0xF0BD,U+4F60
0xCE,佣,private,0xF0BE,U+4F63
0xCF,佩,private,0xF0BF,U+4F69
0xD0,佳,private,0xF0C0,U+4F73
0xD1,使,private,0xF0C1,U+4F7F
0xD2,侈,private,0xF0C2,U+4F88
0xD3,例,private,0xF0C3,U+4F8B
0xD4,供,private,0xF0C4,U+4F9B
0xD5,依,private,0xF0C5,U+4F9D
0xD6,侣,private,0xF0C6,U+4FA3
0xD7,侦,private,0xF0C7,U+4FA6
0xD8,侧,private,0xF0C8,U+4FA7
0xD9,侵,private,0xF0C9,U+4FB5
0xDA,便,private,0xF0CA,U+4FBF
0xDB,促,private,0xF0CB,U+4FC3
0xDC,俏,private,0xF0CC,U+4FCF
0xDD,俗,private,0xF0CD,U+4FD7
0xDE,保,private,0xF0CE,U+4FDD
0xDF,信,private,0xF0CF,U+4FE1
0xE0,俩,private,0xF0D0,U+4FE9
0xE1,修,private,0xF0D1,U+4FEE
0xE2,俯,private,0xF0D2,U+4FEF
0xE3,俱,private,0xF0D3,U+4FF1
0xE4,俺,private,0xF0D4,U+4FFA
0xE5,倍,private,0xF0D5,U+500D
0xE6,倒,private,0xF0D6,U+5012
0xE7,倔,private,0xF0D7,U+5014
0xE8,候,private,0xF0D8,U+5019
0xE9,借,private,0xF0D9,U+501F
0xEA,倦,private,0xF0DA,U+5026
0xEB,值,private,0xF0DB,U+503C
0xEC,倾,private,0xF0DC,U+503E
0xED,假,private,0xF0DD,U+5047
0xEE,偏,private,0xF0DE,U+504F
0xEF,做,private,0xF0DF,U+505A
0xF0,停,private,0xF0E0,U+505C
0xF1,健,private,0xF0E1,U+5065
0xF2,偶,private,0xF0E2,U+5076
0xF3,偷,private,0xF0E3,U+5077
0xF4,催,private,0xF0E4,U+50AC
0xF5,傲,private,0xF0E5,U+50B2
0xF6,傻,private,0xF0E6,U+50BB
0xF7,像,private,0xF0E7,U+50CF
0xF8,僵,private,0xF0E8,U+50F5
0xF9,儿,private,0xF0E9,U+513F
0xFA,允,private,0xF0EA,U+5141
0xFB,元,private,0xF0EB,U+5143
0xFC,兄,private,0xF0EC,U+5144
0xFD,充,private,0xF0ED,U+5145
0xFE,兆,private,0xF0EE,U+5146
0xFF,先,private,0xF0EF,U+5148
0x100,光,private,0xF0F0,U+5149
0x101,克,private,0xF0F1,U+514B
0x102,免,private,0xF0F2,U+514D
0x103,兔,private,0xF0F3,U+5154
0x104,兢,private,0xF0F4,U+5162
0x105,入,private,0xF0F5,U+5165
0x106,全,private,0xF0F6,U+5168
0x107,八,private,0xF0F7,U+516B
0x108,公,private,0xF0F8,U+516C
0x109,兮,private,0xF0F9,U+516E
0x10A,共,private,0xF0FA,U+5171
0x10B,关,private,0xF0FB,U+5173
0x10C,兴,private,0xF0FC,U+5174
0x10D,兵,private,0xF140,U+5175
0x10E,其,private,0xF141,U+5176
0x10F,具,private,0xF142,U+5177
0x110,典,private,0xF143,U+5178
0x111,养,private,0xF144,U+517B
0x112,兼,private,0xF145,U+517C
0x113,兽,private,0xF146,U+517D
0x114,冀,private,0xF147,U+5180
0x115,内,private,0xF148,U+5185
0x116,冈,private,0xF149,U+5188
0x117,册,private,0xF14A,U+518C
0x118,再,private,0xF14B,U+518D
0x119,冒,private,0xF14C,U+5192
0x11A,写,private,0xF14D,U+5199
0x11B,军,private,0xF14E,U+519B
0x11C,冠,private,0xF14F,U+51A0
0x11D,冤,private,0xF150,U+51A4
0x11E,冬,private,0xF151,U+51AC
0x11F,冰,private,0xF152,U+51B0
0x120,冲,private,0xF153,U+51B2
0x121,决,private,0xF154,U+51B3
0x122,况,private,0xF155,U+51B5
0x123,冷,private,0xF156,U+51B7
0x124,冻,private,0xF157,U+51BB
0x125,净,private,0xF158,U+51C0
0x126,准,private,0xF159,U+51C6
0x127,凉,private,0xF15A,U+51C9
0x128,凋,private,0xF15B,U+51CB
0x129,凌,private,0xF15C,U+51CC
0x12A,减,private,0xF15D,U+51CF
0x12B,凑,private,0xF15E,U+51D1
0x12C,凝,private,0xF15F,U+51DD
0x12D,几,private,0xF160,U+51E0
0x12E,凡,private,0xF161,U+51E1
0x12F,凭,private,0xF162,U+51ED
0x130,凶,private,0xF163,U+51F6
0x131,凸,private,0xF164,U+51F8
0x132,出,private,0xF165,U+51FA
0x133,击,private,0xF166,U+51FB
0x134,函,private,0xF167,U+51FD
0x135,刀,private,0xF168,U+5200
0x136,刁,private,0xF169,U+5201
0x137,刃,private,0xF16A,U+5203
0x138,分,private,0xF16B,U+5206
0x139,切,private,0xF16C,U+5207
0x13A,刊,private,0xF16D,U+520A
0x13B,刑,private,0xF16E,U+5211
0x13C,划,private,0xF16F,U+5212
0x13D,列,private,0xF170,U+5217
0x13E,则,private,0xF171,U+5219
0x13F,刚,private,0xF172,U+521A
0x140,创,private,0xF173,U+521B
0x141,初,private,0xF174,U+521D
0x142,删,private,0xF175,U+5220
0x143,判,private,0xF176,U+5224
0x144,利,private,0xF177,U+5229
0x145,别,private,0xF178,U+522B
0x146,刮,private,0xF179,U+522E
0x147,到,private,0xF17A,U+5230
0x148,制,private,0xF17B,U+5236
0x149,刷,private,0xF17C,U+5237
0x14A,券,private,0xF17D,U+5238
0x14B,刺,private,0xF17E,U+523A
0x14C,刻,private,0xF180,U+523B
0x14D,剂,private,0xF181,U+5242
0x14E,前,private,0xF182,U+524D
0x14F,剑,private,0xF183,U+5251
0x150,剔,private,0xF184,U+5254
0x151,剖,private,0xF185,U+5256
0x152,剧,private,0xF186,U+5267
0x153,剩,private,0xF187,U+5269
0x154,剪,private,0xF188,U+526A
0x155,副,private,0xF189,U+526F
0x156,劈,private,0xF18A,U+5288
0x157,力,private,0xF18B,U+529B
0x158,劝,private,0xF18C,U+529D
0x159,办,private,0xF18D,U+529E
0x15A,功,private,0xF18E,U+529F
0x15B,加,private,0xF18F,U+52A0
0x15C,务,private,0xF190,U+52A1
0x15D,劣,private,0xF191,U+52A3
0x15E,动,private,0xF192,U+52A8
0x15F,助,private,0xF193,U+52A9
0x160,努,private,0xF194,U+52AA
0x161,励,private,0xF195,U+52B1
0x162,劲,private,0xF196,U+52B2
0x163,劳,private,0xF197,U+52B3
0x164,势,private,0xF198,U+52BF
0x165,勃,private,0xF199,U+52C3
0x166,勇,private,0xF19A,U+52C7
0x167,勉,private,0xF19B,U+52C9
0x168,勒,private,0xF19C,U+52D2
0x169,募,private,0xF19D,U+52DF
0x16A,勤,private,0xF19E,U+52E4
0x16B,勾,private,0xF19F,U+52FE
0x16C,匀,private,0xF1A0,U+5300
0x16D,包,private,0xF1A1,U+5305
0x16E,匆,private,0xF1A2,U+5306
0x16F,化,private,0xF1A3,U+5316
0x170,北,private,0xF1A4,U+5317
0x171,匹,private,0xF1A5,U+5339
0x172,区,private,0xF1A6,U+533A
0x173,医,private,0xF1A7,U+533B
0x174,十,private,0xF1A8,U+5341
0x175,千,private,0xF1A9,U+5343
0x176,升,private,0xF1AA,U+5347
0x177,午,private,0xF1AB,U+5348
0x178,卉,private,0xF1AC,U+5349
0x179,半,private,0xF1AD,U+534A
0x17A,华,private,0xF1AE,U+534E
0x17B,协,private,0xF1AF,U+534F
0x17C,卑,private,0xF1B0,U+5351
0x17D,单,private,0xF1B1,U+5355
0x17E,卖,private,0xF1B2,U+5356
0x17F,南,private,0xF1B3,U+5357
0x180,博,private,0xF1B4,U+535A
0x181,卜,private,0xF1B5,U+535C
0x182,卟,private,0xF1B6,U+535F
0x183,占,private,0xF1B7,U+5360
0x184,卡,private,0xF1B8,U+5361
0x185,卧,private,0xF1B9,U+5367
0x186,卫,private,0xF1BA,U+536B
0x187,印,private,0xF1BB,U+5370
0x188,危,private,0xF1BC,U+5371
0x189,即,private,0xF1BD,U+5373
0x18A,却,private,0xF1BE,U+5374
0x18B,卵,private,0xF1BF,U+5375
0x18C,卷,private,0xF1C0,U+5377
0x18D,厂,private,0xF1C1,U+5382
0x18E,厅,private,0xF1C2,U+5385
0x18F,历,private,0xF1C3,U+5386
0x190,厉,private,0xF1C4,U+5389
0x191,压,private,0xF1C5,U+538B
0x192,厌,private,0xF1C6,U+538C
0x193,厕,private,0xF1C7,U+5395
0x194,厚,private,0xF1C8,U+539A
0x195,原,private,0xF1C9,U+539F
0x196,厢,private,0xF1CA,U+53A2
0x197,厨,private,0xF1CB,U+53A8
0x198,去,private,0xF1CC,U+53BB
0x199,县,private,0xF1CD,U+53BF
0x19A,参,private,0xF1CE,U+53C2
0x19B,又,private,0xF1CF,U+53C8
0x19C,叉,private,0xF1D0,U+53C9
0x19D,及,private,0xF1D1,U+53CA
0x19E,友,private,0xF1D2,U+53CB
0x19F,双,private,0xF1D3,U+53CC
0x1A0,反,private,0xF1D4,U+53CD
0x1A1,发,private,0xF1D5,U+53D1
0x1A2,叔,private,0xF1D6,U+53D4
0x1A3,取,private,0xF1D7,U+53D6
0x1A4,受,private,0xF1D8,U+53D7
0x1A5,变,private,0xF1D9,U+53D8
0x1A6,叙,private,0xF1DA,U+53D9
0x1A7,叛,private,0xF1DB,U+53DB
0x1A8,叠,private,0xF1DC,U+53E0
0x1A9,口,private,0xF1DD,U+53E3
0x1AA,古,private,0xF1DE,U+53E4
0x1AB,句,private,0xF1DF,U+53E5
0x1AC,另,private,0xF1E0,U+53E6
0x1AD,叨,private,0xF1E1,U+53E8
0x1AE,只,private,0xF1E2,U+53EA
0x1AF,叫,private,0xF1E3,U+53EB
0x1B0,召,private,0xF1E4,U+53EC
0x1B1,叭,private,0xF1E5,U+53ED
0x1B2,叮,private,0xF1E6,U+53EE
0x1B3,可,private,0xF1E7,U+53EF
0x1B4,台,private,0xF1E8,U+53F0
0x1B5,史,private,0xF1E9,U+53F2
0x1B6,右,private,0xF1EA,U+53F3
0x1B7,叶,private,0xF1EB,U+53F6
0x1B8,号,private,0xF1EC,U+53F7
0x1B9,司,private,0xF1ED,U+53F8
0x1BA,叹,private,0xF1EE,U+53F9
0x1BB,叽,private,0xF1EF,U+53FD
0x1BC,吃,private,0xF1F0,U+5403
0x1BD,各,private,0xF1F1,U+5404
0x1BE,吆,private,0xF1F2,U+5406
0x1BF,合,private,0xF1F3,U+5408
0x1C0,吉,private,0xF1F4,U+5409
0x1C1,吊,private,0xF1F5,U+540A
0x1C2,同,private,0xF1F6,U+540C
0x1C3,名,private,0xF1F7,U+540D
0x1C4,后,private,0xF1F8,U+540E
0x1C5,吐,private,0xF1F9,U+5410
0x1C6,向,private,0xF1FA,U+5411
0x1C7,吓,private,0xF1FB,U+5413
0x1C8,吗,private,0xF1FC,U+5417
0x1C9,君,private,0xF240,U+541B
0x1CA,吞,private,0xF241,U+541E
0x1CB,吡,private,0xF242,U+5421
0x1CC,否,private,0xF243,U+5426
0x1CD,吧,private,0xF244,U+5427
0x1CE,吩,private,0xF245,U+5429
0x1CF,含,private,0xF246,U+542B
0x1D0,听,private,0xF247,U+542C
0x1D1,启,private,0xF248,U+542F
0x1D2,吱,private,0xF249,U+5431
0x1D3,吵,private,0xF24A,U+5435
0x1D4,吸,private,0xF24B,U+5438
0x1D5,吹,private,0xF24C,U+5439
0x1D6,吻,private,0xF24D,U+543B
0x1D7,吼,private,0xF24E,U+543C
0x1D8,呀,private,0xF24F,U+5440
0x1D9,呃,private,0xF250,U+5443
0x1DA,呆,private,0xF251,U+5446
0x1DB,告,private,0xF252,U+544A
0x1DC,呐,private,0xF253,U+5450
0x1DD,呕,private,0xF254,U+5455
0x1DE,员,private,0xF255,U+5458
0x1DF,呜,private,0xF256,U+545C
